-- Day 1 --
1 ben 1 blurb | Benjamin wrote “the fridge hummed loud enough to hear from the road”. You have put that 1,047 miles from where it happened.
42 benjamin 2 yardstick | You missed by further than New Orleans is from Boston. Both of those are in this game.
42 andrew 2 deadpan | You were there. You got 219.
42 maddie 2 — | (silence)
42 anna 2 — | (silence)
42 ben 3 — | (silence)
42 benjamin 3 — | (silence)
42 andrew 3 amenity | It had private hot tub - available all year. You put it in the Indian Ocean.
42 maddie 3 — | (silence)
42 anna 3 — | (silence)

-- Day 43 --
43 ben 1 yardstick | You missed by further than Indian Harbour Beach is from Boston. Both of those are in this game.
43 benjamin 1 amenity | Beach access, the listing said. the South Atlantic, you said.
43 andrew 1 — | (silence)
43 maddie 1 amenity | It had beach access. You put it in the North Pacific.
43 anna 1 deadpan | You were there. You got 113.
43 ben 2 accusation | Andrew, you said. The closest Andrew has ever been to this is 4,591 miles.
43 benjamin 2 — | (silence)
43 andrew 2 — | (silence)
43 maddie 2 listing | The North Pacific. Sleeps nobody. Not yet reviewed.
43 anna 2 — | (silence)
43 ben 3 — | (silence)
43 benjamin 3 listing | You have pinned the South Pacific. No bedrooms, no baths, and the host has never responded.
43 andrew 3 — | (silence)
43 maddie 3 — | (silence)
43 anna 3 — | (silence)

-- Day 44 --
44 ben 1 deadpan | You were there. You got 34.
44 benjamin 1 — | (silence)
44 andrew 1 — | (silence)
44 maddie 1 witness | Ben slept there. Ben will have opinions about being left off.
44 anna 1 — | (silence)
44 ben 2 — | (silence)
44 benjamin 2 — | (silence)
44 andrew 2 — | (silence)
44 maddie 2 blurb | “the shower was a hose bolted to the garden wall”, according to Ben. Not 1,502 miles from here it didn't.
44 anna 2 — | (silence)
44 ben 3 witness | You left Andrew out. Andrew has the photos.
44 benjamin 3 — | (silence)
44 andrew 3 — | (silence)
44 maddie 3 — | (silence)
44 anna 3 — | (silence)

-- Day 45 --
45 ben 1 — | (silence)
45 benjamin 1 — | (silence)
45 andrew 1 listing | You have pinned the North Atlantic. No bedrooms, no baths, and the host has never responded.
45 maddie 1 — | (silence)
45 anna 1 — | (silence)
45 ben 2 — | (silence)
45 benjamin 2 — | (silence)
45 andrew 2 yardstick | That is more than the whole way from Tromsø to Queens, and somebody here has slept in both.
45 maddie 2 — | (silence)
45 anna 2 — | (silence)
45 ben 3 — | (silence)
45 benjamin 3 blurb | Ben wrote “the fireplace worked once and then never again”. You have put that 1,466 miles from where it happened.
45 andrew 3 blurb | “the fireplace worked once and then never again”, according to Ben. Not 6,027 miles from here it didn't.
45 maddie 3 — | (silence)
45 anna 3 blurb | “the fireplace worked once and then never again”, according to Ben. Not 1,052 miles from here it didn't.

-- Day 46 --
46 ben 1 — | (silence)
46 benjamin 1 yardstick | You missed by further than Nashville is from San Isidro. Both of those are in this game.
46 andrew 1 — | (silence)
46 maddie 1 — | (silence)
46 anna 1 — | (silence)
46 ben 2 blurb | Benjamin wrote “the fridge hummed loud enough to hear from the road”. You have put that 1,394 miles from where it happened.
46 benjamin 2 deadpan | You were there. You got 145.
46 andrew 2 — | (silence)
46 maddie 2 — | (silence)
46 anna 2 listing | That pin is in the Southern Ocean. Check-in is whenever you surface.
46 ben 3 listing | 600 miles from Mexico City and nothing else. Self check-in, one assumes.
46 benjamin 3 — | (silence)
46 andrew 3 — | (silence)
46 maddie 3 yardstick | That is more than the whole way from Melbourne to Newry, and somebody here has slept in both.
46 anna 3 — | (silence)

-- Day 47 --
47 ben 1 amenity | It had private hot tub. You put it in the North Pacific.
47 benjamin 1 — | (silence)
47 andrew 1 — | (silence)
47 maddie 1 amenity | Private hot tub, the listing said. the South Atlantic, you said.
47 anna 1 — | (silence)
47 ben 2 yardstick | That is more than the whole way from Tromsø to Toyako, and somebody here has slept in both.
47 benjamin 2 — | (silence)
47 andrew 2 accusation | Anna was not there. Anna has never been within 2,206 miles of there.
47 maddie 2 deadpan | You were there. You got 292.
47 anna 2 — | (silence)
47 ben 3 — | (silence)
47 benjamin 3 — | (silence)
47 andrew 3 — | (silence)
47 maddie 3 listing | The South Pacific. Sleeps nobody. Not yet reviewed.
47 anna 3 — | (silence)

-- Day 48 --
48 ben 1 — | (silence)
48 benjamin 1 listing | 317 miles from Houston and nothing else. Self check-in, one assumes.
48 andrew 1 deadpan | You were there. You got 53.
48 maddie 1 — | (silence)
48 anna 1 — | (silence)
48 ben 2 — | (silence)
48 benjamin 2 — | (silence)
48 andrew 2 — | (silence)
48 maddie 2 — | (silence)
48 anna 2 — | (silence)
48 ben 3 — | (silence)
48 benjamin 3 — | (silence)
48 andrew 3 — | (silence)
48 maddie 3 — | (silence)
48 anna 3 — | (silence)

-- Day 49 --
49 ben 1 — | (silence)
49 benjamin 1 blurb | “the view was incredible if you leaned out the window”, according to Ben. Not 4,267 miles from here it didn't.
49 andrew 1 — | (silence)
49 maddie 1 blurb | Ben wrote “the view was incredible if you leaned out the window”. You have put that 1,121 miles from where it happened.
49 anna 1 blurb | “the view was incredible if you leaned out the window”, according to Ben. Not 4,289 miles from here it didn't.
49 ben 2 — | (silence)
49 benjamin 2 — | (silence)
49 andrew 2 — | (silence)
49 maddie 2 — | (silence)
49 anna 2 yardstick | That is more than the whole way from Mexico City to Boston, and somebody here has slept in both.
49 ben 3 — | (silence)
49 benjamin 3 — | (silence)
49 andrew 3 — | (silence)
49 maddie 3 callback | Fourth pin in a row in North America.
49 anna 3 — | (silence)

-- Day 50 --
50 ben 1 deadpan | You were there. You got 36.
50 benjamin 1 witness | Ben was there. Ben is in this group chat.
50 andrew 1 — | (silence)
50 maddie 1 — | (silence)
50 anna 1 — | (silence)
50 ben 2 listing | 1,524 miles from Vancouver and nothing else. Self check-in, one assumes.
50 benjamin 2 — | (silence)
50 andrew 2 listing | 537 miles from Miami and nothing else. Self check-in, one assumes.
50 maddie 2 — | (silence)
50 anna 2 — | (silence)
50 ben 3 — | (silence)
50 benjamin 3 — | (silence)
50 andrew 3 — | (silence)
50 maddie 3 — | (silence)
50 anna 3 — | (silence)

-- Day 51 --
51 ben 1 — | (silence)
51 benjamin 1 yardstick | That is more than the whole way from Mexico City to Nashville, and somebody here has slept in both.
51 andrew 1 yardstick | That is more than the whole way from Newry to Al Ain, and somebody here has slept in both.
51 maddie 1 — | (silence)
51 anna 1 — | (silence)
51 ben 2 — | (silence)
51 benjamin 2 — | (silence)
51 andrew 2 blurb | “the lake was closer than the map made it look”, according to Benjamin. Not 8,446 miles from here it didn't.
51 maddie 2 — | (silence)
51 anna 2 — | (silence)
51 ben 3 — | (silence)
51 benjamin 3 — | (silence)
51 andrew 3 — | (silence)
51 maddie 3 — | (silence)
51 anna 3 — | (silence)

-- Day 52 --
52 ben 1 — | (silence)
52 benjamin 1 listing | 690 miles from Buenos Aires and nothing else. Self check-in, one assumes.
52 andrew 1 — | (silence)
52 maddie 1 — | (silence)
52 anna 1 deadpan | You were there. You got 153.
52 ben 2 — | (silence)
52 benjamin 2 — | (silence)
52 andrew 2 — | (silence)
52 maddie 2 listing | The nearest anything to that pin is New York, 1,065 miles off. No listings out there either.
52 anna 2 — | (silence)
52 ben 3 — | (silence)
52 benjamin 3 — | (silence)
52 andrew 3 — | (silence)
52 maddie 3 — | (silence)
52 anna 3 listing | 1,237 miles from Cape Town and nothing else. Self check-in, one assumes.

-- Day 53 --
53 ben 1 yardstick | That is more than the whole way from Melbourne to Al Ain, and somebody here has slept in both.
53 benjamin 1 — | (silence)
53 andrew 1 — | (silence)
53 maddie 1 — | (silence)
53 anna 1 — | (silence)
53 ben 2 — | (silence)
53 benjamin 2 — | (silence)
53 andrew 2 — | (silence)
53 maddie 2 amenity | It had private backyard – Not fully fenced. You put it in the South Pacific.
53 anna 2 — | (silence)
53 ben 3 — | (silence)
53 benjamin 3 — | (silence)
53 andrew 3 — | (silence)
53 maddie 3 blurb | “the mattress had a valley you both rolled into”, according to Ben. Not 5,292 miles from here it didn't.
53 anna 3 — | (silence)

-- Day 54 --
54 ben 1 — | (silence)
54 benjamin 1 — | (silence)
54 andrew 1 listing | The nearest anything to that pin is Beijing, 963 miles off. No listings out there either.
54 maddie 1 — | (silence)
54 anna 1 callback | Fourth pin in a row in North America.
54 ben 2 — | (silence)
54 benjamin 2 — | (silence)
54 andrew 2 — | (silence)
54 maddie 2 — | (silence)
54 anna 2 — | (silence)
54 ben 3 — | (silence)
54 benjamin 3 — | (silence)
54 andrew 3 amenity | It had wifi – 20 Mbps. You put it in the North Pacific.
54 maddie 3 — | (silence)
54 anna 3 yardstick | You missed by further than South Padre Island is from Titusville. Both of those are in this game.

-- Day 55 --
55 ben 1 listing | 547 miles from Tokyo and nothing else. Self check-in, one assumes.
55 benjamin 1 deadpan | You were there. You got 173.
55 andrew 1 — | (silence)
55 maddie 1 — | (silence)
55 anna 1 blurb | Maddie wrote “the kitchen had every spice except the one we needed”. You have put that 6,391 miles from where it happened.
55 ben 2 — | (silence)
55 benjamin 2 — | (silence)
55 andrew 2 — | (silence)
55 maddie 2 witness | You left Ben out. Ben has the photos.
55 anna 2 — | (silence)
55 ben 3 — | (silence)
55 benjamin 3 — | (silence)
55 andrew 3 — | (silence)
55 maddie 3 — | (silence)
55 anna 3 witness | Ben slept there. Ben will have opinions about being left off.

-- Day 56 --
56 ben 1 — | (silence)
56 benjamin 1 — | (silence)
56 andrew 1 — | (silence)
56 maddie 1 yardstick | You missed by further than South Padre Island is from Al Ain. Both of those are in this game.
56 anna 1 — | (silence)
56 ben 2 blurb | “a rooster started at four and never really stopped”, according to Anna. Not 7,570 miles from here it didn't.
56 benjamin 2 — | (silence)
56 andrew 2 — | (silence)
56 maddie 2 deadpan | You were there. You got 2.
56 anna 2 — | (silence)
56 ben 3 — | (silence)
56 benjamin 3 — | (silence)
56 andrew 3 witness | You left Benjamin out. Benjamin has the photos.
56 maddie 3 listing | That pin is in the North Atlantic. Check-in is whenever you surface.
56 anna 3 — | (silence)

-- Day 57 --
57 ben 1 — | (silence)
57 benjamin 1 — | (silence)
57 andrew 1 yardstick | You missed by further than Tromsø is from Nashville. Both of those are in this game.
57 maddie 1 — | (silence)
57 anna 1 listing | 348 miles from Atlanta and nothing else. Self check-in, one assumes.
57 ben 2 — | (silence)
57 benjamin 2 listing | The nearest anything to that pin is New York, 581 miles off. No listings out there either.
57 andrew 2 — | (silence)
57 maddie 2 — | (silence)
57 anna 2 — | (silence)
57 ben 3 — | (silence)
57 benjamin 3 — | (silence)
57 andrew 3 — | (silence)
57 maddie 3 — | (silence)
57 anna 3 — | (silence)

-- Day 58 --
58 ben 1 yardstick | You missed by further than Morris is from New Orleans. Both of those are in this game.
58 benjamin 1 — | (silence)
58 andrew 1 — | (silence)
58 maddie 1 — | (silence)
58 anna 1 deadpan | You were there. You got 223.
58 ben 2 — | (silence)
58 benjamin 2 — | (silence)
58 andrew 2 — | (silence)
58 maddie 2 — | (silence)
58 anna 2 — | (silence)
58 ben 3 — | (silence)
58 benjamin 3 blurb | “the hot tub was cold and the pool was a puddle”, according to Anna. Not 2,422 miles from here it didn't.
58 andrew 3 — | (silence)
58 maddie 3 blurb | Anna wrote “the hot tub was cold and the pool was a puddle”. You have put that 1,040 miles from where it happened.
58 anna 3 — | (silence)

-- Day 59 --
59 ben 1 listing | 1,455 miles from Melbourne and nothing else. Self check-in, one assumes.
59 benjamin 1 — | (silence)
59 andrew 1 — | (silence)
59 maddie 1 — | (silence)
59 anna 1 — | (silence)
59 ben 2 — | (silence)
59 benjamin 2 — | (silence)
59 andrew 2 — | (silence)
59 maddie 2 — | (silence)
59 anna 2 — | (silence)
59 ben 3 — | (silence)
59 benjamin 3 — | (silence)
59 andrew 3 listing | The nearest anything to that pin is New York, 983 miles off. No listings out there either.
59 maddie 3 — | (silence)
59 anna 3 — | (silence)

-- Day 60 --
60 ben 1 witness | Benjamin was there. Benjamin is in this group chat.
60 benjamin 1 — | (silence)
60 andrew 1 blurb | Maddie wrote “the kitchen had every spice except the one we needed”. You have put that 8,773 miles from where it happened.
60 maddie 1 — | (silence)
60 anna 1 — | (silence)
60 ben 2 — | (silence)
60 benjamin 2 — | (silence)
60 andrew 2 — | (silence)
60 maddie 2 — | (silence)
60 anna 2 — | (silence)
60 ben 3 — | (silence)
60 benjamin 3 yardstick | That is more than the whole way from Stamford to New Orleans, and somebody here has slept in both.
60 andrew 3 deadpan | You were there. You got 127.
60 maddie 3 — | (silence)
60 anna 3 — | (silence)
